ORMS Business Unit Lvl 1,ORMS Business Unit Lvl 2,Risk Classification Level 1,Risk Classification Level 2,Inherent Risk Rating Final,Residual Risk Rating Final,Root Cause Classification Level 1,Root Cause Classification Level 2,ERIC Risk Number,Risk Statement,Risk Owner,Risk Status,ERIC Control Number,Control Environment Rating,Control Name,RCM Control Identifier,Key Control,Most Recent Published CA Conclusion,SOX Control
Direct Investing Operations,Statements & Confirms,Information Technology Risk,Application Failure,High,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05049,"Risk that IT systems fail, are unavailable, or are compromised.",Riley Rasmussen,Active,ERIC-C-01018,Adequate,IT Access Quarterly Review,RCM-97806,No,Effective with Exceptions,N
Asset Servicing,Voluntary Events,Fraud Risk,External Fraud - Digital,High,Medium,People Failure,Lack of diligence,ERIC-R-05050,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Sage Devereux,Active,ERIC-C-01004,Strong,Wire Payment Maker-Checker,RCM-53309,Yes,Not Yet Concluded,Y
Asset Servicing,Voluntary Events,Fraud Risk,External Fraud - Digital,High,Medium,People Failure,Lack of diligence,ERIC-R-05050,Risk that internal or external actors execute unauthorized transactions or misappropriate assets.,Sage Falconer,Active,ERIC-C-01014,Strong,Vault Access Authorization,RCM-89276,Yes,Adequate,Y
Wealth Management Operations,Trade Settlements,Regulatory Compliance Risk,MIFID/CRM2 Compliance,Medium,Low,Process Failure,"Inadequate design of policy, procedure, or process",ERIC-R-05051,Risk that operational activities fail to meet regulatory reporting or conduct requirements.,Phoenix Rasmussen,Active,ERIC-C-01015,Strong,Regulatory Reporting Sign-off,RCM-27146,Yes,Effective,N
Asset Servicing,Shareholder Services,Money Laundering Risk,Transaction Monitoring Gaps,High,High,Process Failure,Inadequate execution of processes,ERIC-R-05052,Risk that the firm facilitates money laundering or terrorist financing.,Kendall Marchetti,Active,ERIC-C-01002,Adequate,KYC Due Diligence Review,RCM-89507,Yes,Effective,N
Asset Servicing,Shareholder Services,Money Laundering Risk,Transaction Monitoring Gaps,High,High,Process Failure,Inadequate execution of processes,ERIC-R-05052,Risk that the firm facilitates money laundering or terrorist financing.,Morgan Devereux,Active,ERIC-C-01003,Adequate,Sanctions Screening Daily,RCM-42493,Yes,Effective,N
Asset Servicing,Physical Certificates,People Risk,Turnover Risk,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05053,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Skyler Linwood,Under Review,ERIC-C-01020,Adequate,FATCA/CRS Indicia Review,RCM-13617,No,Effective,N
Asset Servicing,Physical Certificates,People Risk,Turnover Risk,Medium,Medium,People Failure,Lack of diligence,ERIC-R-05053,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Skyler Falconer,Active,ERIC-C-01002,Strong,KYC Due Diligence Review,RCM-89507,Yes,Adequate,N
Capital Markets Operations,Equity Settlements,Money Laundering Risk,Transaction Monitoring Gaps,Medium,Low,Third Party Failure,Third party supplier,ERIC-R-05054,Risk that the firm facilitates money laundering or terrorist financing.,Remy Nakatani,Active,ERIC-C-01003,Adequate,Sanctions Screening Daily,RCM-42493,Yes,Effective,N
Capital Markets Operations,Equity Settlements,Money Laundering Risk,Transaction Monitoring Gaps,Medium,Low,Third Party Failure,Third party supplier,ERIC-R-05054,Risk that the firm facilitates money laundering or terrorist financing.,Reese Warburton,Active,ERIC-C-01002,Adequate,KYC Due Diligence Review,RCM-89507,Yes,Effective,N
Direct Investing Operations,Account Maintenance,Money Laundering Risk,Sanctions Screening,High,High,Process Failure,Poor implementation or change management,ERIC-R-05055,Risk that the firm facilitates money laundering or terrorist financing.,Phoenix Holloway,Active,ERIC-C-01003,Adequate,Sanctions Screening Daily,RCM-42493,Yes,Adequate,N
Asset Servicing,Physical Certificates,Legal Risk,Documentation Gaps,Medium,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05056,Risk that contractual or documentation gaps result in litigation or unenforceability.,Morgan Devereux,Active,ERIC-C-01011,Adequate,Control Account Daily Reconciliation,RCM-44179,No,Effective,Y
Asset Servicing,Physical Certificates,Legal Risk,Documentation Gaps,Medium,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05056,Risk that contractual or documentation gaps result in litigation or unenforceability.,Hayden Marchetti,Active,ERIC-C-01008,Needs Improvement,Mandatory CA Entitlement Recon,RCM-65444,No,Effective,N
Asset Servicing,Physical Certificates,Legal Risk,Documentation Gaps,Medium,Medium,People Failure,"Lack of adequate skills, knowledge, or training",ERIC-R-05056,Risk that contractual or documentation gaps result in litigation or unenforceability.,Drew Yablonski,Active,ERIC-C-01025,Strong,Physical Cert Chain-of-Custody Log,RCM-22240,No,Effective with Exceptions,N
Asset Servicing,Mandatory Events,Legal Risk,Contractual Disputes,Medium,Medium,Process Failure,Inadequate execution of processes,ERIC-R-05057,Risk that contractual or documentation gaps result in litigation or unenforceability.,Quinn Velazquez,Active,ERIC-C-01016,Needs Improvement,Privacy Incident Triage,RCM-82420,Yes,Effective with Exceptions,N
Asset Servicing,Mandatory Events,Legal Risk,Contractual Disputes,Medium,Medium,Process Failure,Inadequate execution of processes,ERIC-R-05057,Risk that contractual or documentation gaps result in litigation or unenforceability.,Casey Okafor,Active,ERIC-C-01015,Needs Improvement,Regulatory Reporting Sign-off,RCM-27146,Yes,Effective with Exceptions,N
Asset Servicing,Mandatory Events,Legal Risk,Contractual Disputes,Medium,Medium,Process Failure,Inadequate execution of processes,ERIC-R-05057,Risk that contractual or documentation gaps result in litigation or unenforceability.,Reese Eastwick,Active,ERIC-C-01025,Adequate,Physical Cert Chain-of-Custody Log,RCM-22240,No,Effective,N
Asset Servicing,Entitlements,People Risk,Key Person Dependency,Medium,Medium,System Failure,Technology failure,ERIC-R-05058,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Sasha Asher,Active,ERIC-C-01002,Needs Improvement,KYC Due Diligence Review,RCM-89507,Yes,Adequate,N
Asset Servicing,Entitlements,People Risk,Key Person Dependency,Medium,Medium,System Failure,Technology failure,ERIC-R-05058,"Risk that staffing gaps, training inadequacies or attrition disrupt operations.",Reese Yablonski,Active,ERIC-C-01012,Adequate,Journal Entry Approval,RCM-23104,Yes,Effective,Y
Wealth Management Operations,Fee Billing & Reporting,Business Continuity Risk,Site Outage,Low,Low,System Failure,Inappropriate access granted or authorized access not granted,ERIC-R-05059,Risk that operational disruptions impair the firm's ability to deliver services.,Remy Nakatani,Active,ERIC-C-01019,Needs Improvement,BCP Annual Test,RCM-39831,No,Effective,N
Private Banking Operations,Custody Services,Information Management Risk,Data Quality,High,Medium,People Failure,Clerical errors or miscommunication of instructions,ERIC-R-05060,"Risk that data is incomplete, inaccurate, or inappropriately retained.",Reese Eastwick,Active,ERIC-C-01023,Adequate,Reorg Expiry 2BD Pre-Issuer Check,RCM-26683,No,Effective,Y
