Event ID,Impact ID,Day of GL Date,Day of Creation Date,Impact Type,Characteristic of Impact,Impacted Business Line Tier 2,Primary Responsible Business Line Tier 2,Risk Classification Level 1,Root Cause Level 2,Summary Description,"Impact Amount, CAD"
LE_10000129,LI_20000129,2024-06-01,2024-06-08,Other Incidents,Loss of Control (not recorded in P&L),Fixed Income Settlements,Fixed Income Settlements,Fraud Risk,Accidental damage or disruption,Physical certificate misfiled in vault; located after audit.,0.0
LE_10000130,LI_20000130,2025-01-17,2025-01-29,Loss,P&L Loss (no GL entry),Shareholder Services,Shareholder Services,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,9952.57
LE_10000131,LI_20000131,2024-11-03,2024-11-24,Other Incidents,Regulatory Fine,Mandatory Events,Mandatory Events,Tax Risk,"Lack of adequate skills, knowledge, or training",Withholding tax applied at incorrect treaty rate.,0.0
LE_10000132,LI_20000132,2024-01-10,2024-01-15,Loss,Client Billing Error,Corporate Actions,Corporate Actions,Processing & Execution Risk,Technology failure,FX rate stale at booking; client billed at off-market rate.,1450.07
LE_10000133,LI_20000133,2024-04-07,2024-04-23,Gain,P&L Loss (no GL entry),Account Maintenance,Account Maintenance,Processing & Execution Risk,Technology failure,FX rate stale at booking; client billed at off-market rate.,2872.7
LE_10000134,LI_20000134,2025-08-03,2025-08-18,Other Incidents,Regulatory Impact,Equity Settlements,Equity Settlements,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Wire instruction duplicated due to staff error; recovered same day.,0.0
LE_10000135,LI_20000135,2024-02-03,2024-02-08,Timing Errors,Provision (non-legal),Corporate Actions,Corporate Actions,Processing & Execution Risk,Inadequate execution of processes,Bond redemption proceeds posted late to client account.,1131.38
LE_10000136,LI_20000136,2024-03-19,2024-03-28,Gain,Regulatory Impact,Trade Settlements,Trade Settlements,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,4122.42
LE_10000137,LI_20000137,2025-07-07,2025-07-17,Gain,Client Billing Error,Mandatory Events,Mandatory Events,Privacy Risk,Clerical errors or miscommunication of instructions,Privacy breach: statement mailed to incorrect address.,3417.47
LE_10000138,LI_20000138,2024-03-18,2024-03-28,Loss,P&L Loss (no GL entry),Fixed Income Settlements,Fixed Income Settlements,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,10955.35
LE_10000139,LI_20000139,2025-04-06,2025-04-21,Loss,P&L Loss (no GL entry),Shareholder Services,Shareholder Services,Money Laundering Risk,Lack of diligence,Sanctions hit not escalated within SLA.,241328.92
LE_10000140,LI_20000140,2024-07-09,2024-07-30,Other Incidents,Client Billing Error,Custody Services,Custody Services,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Voluntary corporate action election missed cutoff.,0.0
LE_10000141,LI_20000141,2024-03-25,2024-04-02,Timing Errors,Provision (non-legal),Self-Directed Trading Ops,Self-Directed Trading Ops,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,1429.09
LE_10000142,LI_20000142,2024-04-19,2024-04-21,Timing Errors,Legal Settlement,Statements & Confirms,Statements & Confirms,Tax Risk,Inadequate execution of processes,Late filing of tax slip resulting in regulatory penalty.,640.19
LE_10000143,LI_20000143,2025-03-17,2025-03-31,Loss,Provision (non-legal),Lending Operations,Lending Operations,Processing & Execution Risk,Inadequate execution of processes,Trade booked to incorrect client account; corrected next day after recon break.,2228.07
LE_10000144,LI_20000144,2025-09-03,2025-09-22,Loss,Write-off,Shareholder Services,Shareholder Services,Information Technology Risk,Inappropriate access granted or authorized access not granted,Former employee retained REOR access post-termination.,13877.78
LE_10000145,LI_20000145,2025-07-26,2025-08-02,Loss,Client Billing Error,Self-Directed Trading Ops,Self-Directed Trading Ops,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,18134.85
LE_10000146,LI_20000146,2024-11-04,2024-11-12,Timing Errors,Legal Settlement,Mandatory Events,Mandatory Events,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,0.0
LE_10000147,LI_20000147,2024-03-19,2024-03-30,Loss,Provision (non-legal),Fixed Income Settlements,Fixed Income Settlements,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,12131.57
LE_10000148,LI_20000148,2024-05-18,2024-05-27,Gain,Regulatory Fine,Derivatives Operations,Derivatives Operations,Processing & Execution Risk,Inadequate execution of processes,Bond redemption proceeds posted late to client account.,2343.52
LE_10000149,LI_20000149,2024-12-08,2024-12-21,Timing Errors,Client Billing Error,Account Maintenance,Account Maintenance,Processing & Execution Risk,Inadequate execution of processes,Trade booked to incorrect client account; corrected next day after recon break.,665.79
LE_10000150,LI_20000150,2024-11-17,2024-11-22,Loss,Stakeholder Impact,Mandatory Events,Mandatory Events,Third Party Risk,Third party supplier,Third party transfer agent confirmed wrong share count.,0.0
LE_10000151,LI_20000151,2025-08-12,2025-08-19,Timing Errors,Reputational Impact,Lending Operations,Lending Operations,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,0.0
LE_10000152,LI_20000152,2025-07-31,2025-08-06,Timing Errors,Client Billing Error,Account Maintenance,Account Maintenance,Fraud Risk,External fraud - digital,Phishing attempt against client intercepted by fraud team.,0.0
LE_10000153,LI_20000153,2026-01-14,2026-01-28,Timing Errors,Loss of Control (not recorded in P&L),Mandatory Events,Mandatory Events,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,0.0
LE_10000154,LI_20000154,2026-03-25,2026-04-07,Timing Errors,Regulatory Impact,Derivatives Operations,Derivatives Operations,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Reorg expiry set equal to issuer expiry instead of 2BD prior.,0.0
LE_10000155,LI_20000155,2024-06-06,2024-06-19,Gain,Regulatory Fine,Self-Directed Trading Ops,Self-Directed Trading Ops,Processing & Execution Risk,Inadequate execution of processes,Critical Date Report not pulled; near-expiry event missed.,1338.14
LE_10000156,LI_20000156,2025-08-19,2025-08-31,Other Incidents,Near Miss,Fee Billing & Reporting,Fee Billing & Reporting,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,0.0
LE_10000157,LI_20000157,2025-08-31,2025-09-20,Loss,P&L Loss (no GL entry),Physical Certificates,Physical Certificates,Information Technology Risk,Inappropriate access granted or authorized access not granted,Former employee retained REOR access post-termination.,20316.81
LE_10000158,LI_20000158,2025-09-19,2025-09-20,Timing Errors,P&L Loss (no GL entry),Trade Settlements,Trade Settlements,Processing & Execution Risk,Technology failure,FX rate stale at booking; client billed at off-market rate.,0.0
LE_10000159,LI_20000159,2024-04-18,2024-04-18,Other Incidents,Client Billing Error,Account Maintenance,Account Maintenance,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,0.0
LE_10000160,LI_20000160,2024-08-14,2024-08-28,Loss,Loss of Control (not recorded in P&L),Discretionary Portfolio Ops,Discretionary Portfolio Ops,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Fee overcharge on managed account due to incorrect tier mapping.,17207.23
LE_10000161,LI_20000161,2024-01-26,2024-02-10,Timing Errors,Stakeholder Impact,Account Maintenance,Account Maintenance,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,0.0
LE_10000162,LI_20000162,2024-04-28,2024-05-02,Other Incidents,Legal Fees,Lending Operations,Lending Operations,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Fee overcharge on managed account due to incorrect tier mapping.,0.0
LE_10000163,LI_20000163,2024-04-09,2024-04-23,Loss,Regulatory Fine,Lending Operations,Lending Operations,Processing & Execution Risk,Inadequate execution of processes,Settlement break unresolved beyond SLA; reconciliation gap.,8740.09
LE_10000164,LI_20000164,2024-12-17,2025-01-06,Loss,Write-off,Account Maintenance,Account Maintenance,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",DTC mandatory event misrouted to voluntary team.,2921.38
LE_10000165,LI_20000165,2025-04-18,2025-04-25,Loss,Loss of Control (not recorded in P&L),Equity Settlements,Equity Settlements,Processing & Execution Risk,"Inadequate design of policy, procedure, or process",Fee overcharge on managed account due to incorrect tier mapping.,14018.23
LE_10000166,LI_20000166,2026-01-25,2026-02-13,Gain,Client Billing Error,Equity Settlements,Equity Settlements,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,2038.35
LE_10000167,LI_20000167,2026-02-09,2026-02-11,Loss,Write-off,Statements & Confirms,Statements & Confirms,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,5184.32
LE_10000168,LI_20000168,2025-11-17,2025-12-02,Loss,P&L Loss (no GL entry),Reconciliations,Reconciliations,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Manual journal entry posted with reversed sign.,2893.18
LE_10000169,LI_20000169,2025-04-13,2025-05-02,Loss,Client Billing Error,Custody Services,Custody Services,Information Technology Risk,Technology failure,System outage delayed end-of-day journal posting.,8730.72
LE_10000170,LI_20000170,2024-04-30,2024-05-07,Gain,Reputational Impact,Custody Services,Custody Services,Privacy Risk,Clerical errors or miscommunication of instructions,Privacy breach: statement mailed to incorrect address.,0.0
LE_10000171,LI_20000171,2024-05-21,2024-06-08,Loss,Legal Settlement,Trade Settlements,Trade Settlements,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,10485.07
LE_10000172,LI_20000172,2024-06-26,2024-07-13,Loss,Loss of Control (not recorded in P&L),Self-Directed Trading Ops,Self-Directed Trading Ops,Processing & Execution Risk,Clerical errors or miscommunication of instructions,Optional dividend election keyed against wrong option.,16149.24
LE_10000173,LI_20000173,2025-01-02,2025-01-02,Loss,P&L Loss (no GL entry),Account Maintenance,Account Maintenance,Privacy Risk,Clerical errors or miscommunication of instructions,Privacy breach: statement mailed to incorrect address.,15504.28
LE_10000174,LI_20000174,2025-12-02,2025-12-17,Timing Errors,Loss of Control (not recorded in P&L),Equity Settlements,Equity Settlements,Regulatory Compliance Risk,Inadequate execution of processes,FATCA indicia not refreshed for legacy account.,994.99
LE_10000175,LI_20000175,2024-10-26,2024-10-27,Loss,Stakeholder Impact,Account Maintenance,Account Maintenance,Fraud Risk,Accidental damage or disruption,Physical certificate misfiled in vault; located after audit.,0.0
LE_10000176,LI_20000176,2025-05-22,2025-06-08,Loss,Near Miss,FX Operations,FX Operations,Processing & Execution Risk,Inadequate execution of processes,Bond redemption proceeds posted late to client account.,0.0
LE_10000177,LI_20000177,2026-04-22,2026-04-23,Loss,Loss of Control (not recorded in P&L),Reconciliations,Reconciliations,Information Technology Risk,Technology failure,System outage delayed end-of-day journal posting.,9203.2
LE_10000178,LI_20000178,2026-02-08,2026-02-15,Loss,Client Billing Error,Statements & Confirms,Statements & Confirms,Financial Reporting Risk,Clerical errors or miscommunication of instructions,Cheque deposit posted to wrong control account.,20760.26
LE_10000179,LI_20000179,2026-03-05,2026-03-12,Loss,Legal Fees,Fee Billing & Reporting,Fee Billing & Reporting,Processing & Execution Risk,Inadequate execution of processes,Mandatory entitlement under-allocated; cash-in-lieu adjustment required.,24849.24
LE_10000180,LI_20000180,2025-10-09,2025-10-22,Other Incidents,Stakeholder Impact,Voluntary Events,Voluntary Events,Third Party Risk,Third party supplier,Vendor outage: depository feed delayed by 4 hours.,0.0
