Process Flow ID,Process Name,Swimlane / Team,Step Name,System Used,Input Artifact,Output Artifact,Estimated Duration,SLA Target,Decision Point,Decision Outcome,Manual Step Flag,Macro Used Count,Bot Used Count,Control Point Flag,Handoff Team,Pain Point / Gap,Holistic Review Comment,Final Step Status
PF-090119,Optional Dividend Election Processing,Voluntary CA Team,Step 2: Notify,JEFE,Depository Feed,Approval Email,7 min,24h,N,N/A,Y,1,0,N,Shareholder Services,PTO coverage informal; mailbox sometimes unmonitored,Replace macro with bot,Active
PF-090120,Optional Dividend Election Processing,Entitlements Team,Step 3: Escalate,DSNet,Reconciliation Report,DSNet Publication,44 min,4h,Y,N/A,Y,0,0,Y,Entitlements Team,Reconciliation tolerance not codified,Replace macro with bot,Deprecated
PF-090121,Optional Dividend Election Processing,Voluntary CA Team,Step 4: Review,Broadridge,Reconciliation Report,Journal Entry,18 min,4h,N,N/A,Y,0,0,N,Shareholder Services,No automated alerting if Critical Date Report not pulled,,Active
PF-090122,Optional Dividend Election Processing,Branch Operations,Step 5: Archive,OperationsHub,Cert Package,Approval Email,96 min,48h,Y,Reject,Y,1,0,N,Technology,Letter mailing depends on overnight batch; weekend gap,,Deprecated
PF-090123,Optional Dividend Election Processing,Reorg / Physical Cert,Step 6: Post,RCM,Excel Worksheet,Updated Worksheet,95 min,4h,N,N/A,Y,0,0,N,,Manual journal approvals require physical sign-off,Candidate for automation,Active
PF-090124,Optional Dividend Election Processing,Mandatory CA Team,Step 7: Notify,RCM,Email,Approval Email,29 min,4h,N,N/A,Y,1,0,Y,Technology,Manual rekeying between Broadridge and REOR,,Under Review
PF-090125,Optional Dividend Election Processing,Bond Desk,Step 8: Publish,SharePoint,Cert Package,Updated Worksheet,56 min,24h,Y,Escalate,N,0,1,N,Bond Desk,Vendor portal session timeouts cause rework,Consolidate two adjacent reviews,Active
PF-090126,Optional Dividend Election Processing,Client Service,Step 9: Notify,RCM,Bulletin PDF,Approval Email,77 min,1h,N,N/A,N,0,0,N,Technology,Reconciliation tolerance not codified,Strengthen evidence retention,Active
PF-090127,Optional Dividend Election Processing,Reconciliations,Step 10: Approve,CDS Bulletin Portal,Trade Blotter,REOR Entry,88 min,2h,N,N/A,N,0,2,N,Shareholder Services,,,Deprecated
PF-090128,Physical Certificate Exchange Processing,Mandatory CA Team,Step 1: Approve,Excel/VBA Macro,Email,Client Letter,103 min,48h,N,N/A,Y,2,0,Y,Mandatory CA Team,No automated alerting if Critical Date Report not pulled,,Active
PF-090129,Physical Certificate Exchange Processing,Voluntary CA Team,Step 2: Receive,SharePoint,Email,REOR Entry,24 min,8h,N,N/A,N,0,0,N,Entitlements Team,Letter mailing depends on overnight batch; weekend gap,Candidate for automation,Active
PF-090130,Physical Certificate Exchange Processing,Voluntary CA Team,Step 3: Archive,REOR,Email,DSNet Publication,120 min,1h,Y,Escalate,Y,2,0,N,Fee Billing,Manual rekeying between Broadridge and REOR,,Under Review
PF-090131,Physical Certificate Exchange Processing,Client Service,Step 4: Enrich,OperationsHub,Bulletin PDF,Closed Ticket,104 min,24h,Y,Reject,Y,0,0,Y,Shareholder Services,Letter mailing depends on overnight batch; weekend gap,Strengthen evidence retention,Active
PF-090132,Physical Certificate Exchange Processing,Mandatory CA Team,Step 5: Notify,Bloomberg,Excel Worksheet,Closed Ticket,16 min,1h,N,N/A,Y,2,0,N,Technology,Manual journal approvals require physical sign-off,Strengthen evidence retention,Under Review
PF-090133,Physical Certificate Exchange Processing,Client Service,Step 6: Approve,CDS Bulletin Portal,Cert Package,Approval Email,58 min,2h,N,N/A,N,0,0,Y,Tax Operations,Manual rekeying between Broadridge and REOR,Candidate for automation,Active
PF-090134,Physical Certificate Exchange Processing,Bond Desk,Step 7: Escalate,Broadridge,Client Letter Template,DTC Instruction,109 min,1h,N,N/A,N,0,1,N,Tax Operations,Letter mailing depends on overnight batch; weekend gap,Replace macro with bot,Active
PF-090135,Physical Certificate Exchange Processing,Mandatory CA Team,Step 8: Archive,DSNet,Client Letter Template,Client Letter,76 min,1h,N,N/A,Y,0,0,N,,Manual rekeying between Broadridge and REOR,Replace macro with bot,Deprecated
PF-090136,Mandatory Equity Entitlement Processing,Reconciliations,Step 1: Review,OperationsHub,Reconciliation Report,Updated Worksheet,85 min,8h,Y,Reject,N,0,1,Y,Tax Operations,,Strengthen evidence retention,Under Review
PF-090137,Mandatory Equity Entitlement Processing,Bond Desk,Step 2: Receive,Broadridge,Cert Package,Approval Email,109 min,8h,Y,Reject,Y,0,0,N,Shareholder Services,Reconciliation tolerance not codified,Candidate for automation,Active
PF-090138,Mandatory Equity Entitlement Processing,Entitlements Team,Step 3: Review,OperationsHub,Cert Package,Updated Worksheet,100 min,48h,N,N/A,N,0,1,N,Voluntary CA Team,Manual rekeying between Broadridge and REOR,Strengthen evidence retention,Active
PF-090139,Mandatory Equity Entitlement Processing,Fee Billing,Step 4: Validate,OperationsHub,Depository Feed,DSNet Publication,53 min,48h,Y,N/A,Y,1,0,N,Technology,Manual rekeying between Broadridge and REOR,,Under Review
PF-090140,Mandatory Equity Entitlement Processing,Tax Operations,Step 5: Post,Bloomberg,Cert Package,Closed Ticket,18 min,24h,Y,Hold,Y,0,0,N,Fee Billing,Reconciliation tolerance not codified,,Active
PF-090141,Mandatory Equity Entitlement Processing,Mandatory CA Team,Step 6: Reconcile,JEFE,Bulletin PDF,Closed Ticket,69 min,8h,N,N/A,Y,2,0,N,Mandatory CA Team,Vendor portal session timeouts cause rework,Strengthen evidence retention,Under Review
PF-090142,Mandatory Equity Entitlement Processing,Fee Billing,Step 7: Notify,Bloomberg,Bulletin PDF,DSNet Publication,7 min,24h,N,N/A,Y,0,0,N,Client Service,,Consolidate two adjacent reviews,Under Review
